3c4b26,France,Airbus,A320-214,Air France,F-GKXV,A320
3c4b27,France,Airbus,A320-214,Air France,F-GKXW,A320
3c4b28,France,Airbus,A320-214,Air France,F-GKXX,A320
3c4b29,France,Airbus,A319-111,Air France,F-GRHU,A319
3c4b2a,France,Airbus,A319-111,Air France,F-GRHV,A319
3c4b2b,France,Airbus,A321-211,Air France,F-GTAE,A321
3c4b2c,France,Airbus,A321-211,Air France,F-GTAF,A321
3c4b2d,France,Airbus,A321-211,Air France,F-GTAH,A321
3c6592,France,Airbus,A320-214,Transavia France,F-GZHM,A320
3c6593,France,Airbus,A320-214,Transavia France,F-GZHN,A320
3c6594,France,Airbus,A320-214,Transavia France,F-GZHO,A320
3c6595,France,Boeing,737-8K2,Transavia France,F-HTVB,B738
3c6596,France,Boeing,737-8K2,Transavia France,F-HTVC,B738
3c6597,France,Boeing,737-8K2,Transavia France,F-HTVD,B738
3c6598,France,Boeing,737-8K2,Transavia France,F-HTVE,B738
3c6599,France,Boeing,737-8K2,Transavia France,F-HTVF,B738
3c659a,France,Airbus,A320-214,easyJet,F-HBIX,A320
3c659b,France,Airbus,A320-214,easyJet,F-HBIY,A320
3c659c,France,Airbus,A319-111,easyJet,F-GZHZ,A319
3c659d,France,Airbus,A320-214,Vueling,EC-MQB,A320
3c5f8a,France,Airbus,A320-214,Air France,F-HEPA,A320
3c5f8b,France,Airbus,A320-214,Air France,F-HEPB,A320
3c5f8c,France,Airbus,A321-211,Air France,F-HEPC,A321
3c5f8d,France,Airbus,A320neo,Air France,F-HEPD,A20N
3c5f8e,France,Airbus,A320neo,Air France,F-HEPE,A20N
